pair_id,pair_type,template_id,edit_type_idx,edit_type_name,agent,model,instruction,aesthetic_path,non_aesthetic_path,aesthetic_score,non_aesthetic_score,score_gap,edit_quality_score
1143w-6-Ht1iOh8uw_t9_singleshot__regression,regression,1143w-6-Ht1iOh8uw,9,Accent Recolor,singleshot,gemini/gemini-2.5-pro,"Change the ""MONDAY"" text color to deep red #C81D25.",images/1143w-6-Ht1iOh8uw_t9_singleshot__regression__aesthetic.png,images/1143w-6-Ht1iOh8uw_t9_singleshot__regression__non_aesthetic.png,90.0,78.0,12.0,
1131w-zsrhBwj_J58_t9_singleshot__regression,regression,1131w-zsrhBwj_J58,9,Accent Recolor,singleshot,gemini/gemini-2.5-pro,Recolor the “RETRO REWIND” headline to deep forest green #184D3A to heighten emphasis while harmonizing with the green statue and gray background.,images/1131w-zsrhBwj_J58_t9_singleshot__regression__aesthetic.png,images/1131w-zsrhBwj_J58_t9_singleshot__regression__non_aesthetic.png,69.0,63.0,6.0,100.0
1257w-dnPJ18q1Q2E_t3_singleshot__regression,regression,1257w-dnPJ18q1Q2E,3,Global Layout Change,singleshot,gemini/gemini-2.5-pro,"Reflow into a vertical split layout: left half full-bleed image; right half solid #C52B24 with tagline top, stacked title below, cast names mid, credits bottom, all right-aligned.",images/1257w-dnPJ18q1Q2E_t3_singleshot__regression__aesthetic.png,images/1257w-dnPJ18q1Q2E_t3_singleshot__regression__non_aesthetic.png,89.0,80.0,9.0,0.0
1257w-dnPJ18q1Q2E_t12_singleshot__regression,regression,1257w-dnPJ18q1Q2E,12,Contrast & Readability Enhancement,singleshot,gemini/gemini-2.5-pro,Add a semi-transparent deep maroon (#5A0F0F) horizontal band behind the bottom cast names and tiny credits to boost contrast against the red background and jacket.,images/1257w-dnPJ18q1Q2E_t12_singleshot__regression__aesthetic.png,images/1257w-dnPJ18q1Q2E_t12_singleshot__regression__non_aesthetic.png,89.0,80.0,9.0,
1280w-sqmHAnUAgsI_t6_singleshot__regression,regression,1280w-sqmHAnUAgsI,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Add a body sans-serif paragraph overlay at the bottom-left of the central couple image, #1A1A1A, left-aligned, 70–90 words about minimalist summer style and sunglasses, to test wrapping within width.",images/1280w-sqmHAnUAgsI_t6_singleshot__regression__aesthetic.png,images/1280w-sqmHAnUAgsI_t6_singleshot__regression__non_aesthetic.png,98.0,97.0,1.0,82.0
1600w-K18O8e4K488_t8_singleshot__regression,regression,1600w-K18O8e4K488,8,Typography Style Shift,singleshot,gemini/gemini-2.5-pro,Switch the “LIVE WEBINAR” headline to a tall serif.,images/1600w-K18O8e4K488_t8_singleshot__regression__aesthetic.png,images/1600w-K18O8e4K488_t8_singleshot__regression__non_aesthetic.png,77.0,58.0,19.0,100.0
1600w-m4qQZp-grvQ_t12_singleshot__regression,regression,1600w-m4qQZp-grvQ,12,Contrast & Readability Enhancement,singleshot,gemini/gemini-2.5-pro,Add a semi-transparent deep charcoal (#1E1E1E) oval fill inside the existing white outline behind “BORCELLE” to improve contrast against the beige jacket.,images/1600w-m4qQZp-grvQ_t12_singleshot__regression__aesthetic.png,images/1600w-m4qQZp-grvQ_t12_singleshot__regression__non_aesthetic.png,81.0,74.0,7.0,8.0
1600w-p1o6ND26wWg_t6_singleshot__regression,regression,1600w-p1o6ND26wWg,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Expand the bottom paragraph below the drink to 2–3× length, preserving friendly studio tone, sans-serif styling, and current alignment, to test wrapping and overflow without shifting overall layout.",images/1600w-p1o6ND26wWg_t6_singleshot__regression__aesthetic.png,images/1600w-p1o6ND26wWg_t6_singleshot__regression__non_aesthetic.png,98.0,93.0,5.0,87.0
1280w-7NdToF9SL00_t10_singleshot__regression,regression,1280w-7NdToF9SL00,10,Background Replacement,singleshot,gemini/gemini-2.5-pro,"Replace the cream background with a soft blush-to-peach gradient (#FADADD to #FFC6A0) to evoke a warm evening vibe, ensuring all black illustrations and text remain clearly legible.",images/1280w-7NdToF9SL00_t10_singleshot__regression__aesthetic.png,images/1280w-7NdToF9SL00_t10_singleshot__regression__non_aesthetic.png,93.0,74.0,19.0,70.0
1600w-FAqixqKkICk_t4_singleshot__regression,regression,1600w-FAqixqKkICk,4,Object Removal,singleshot,gemini/gemini-2.5-pro,"Delete the line ""CONFIDENT,"" and tighten line spacing; recenter the remaining uppercase text within the notepad to keep the layout balanced.",images/1600w-FAqixqKkICk_t4_singleshot__regression__aesthetic.png,images/1600w-FAqixqKkICk_t4_singleshot__regression__non_aesthetic.png,72.0,71.0,1.0,80.0
1135w-537M02wjfK8_t1_singleshot__regression,regression,1135w-537M02wjfK8,1,Translation,singleshot,gemini/gemini-2.5-pro,"Translate to Spanish: OLIVIA Y DANIEL; Junto con sus familias invitan a su boda; 20.10.2029 | 2 p. m.; Calle Anywhere 123, Any City, ST 12345; ¡Recepción a continuación!",images/1135w-537M02wjfK8_t1_singleshot__regression__aesthetic.png,images/1135w-537M02wjfK8_t1_singleshot__regression__non_aesthetic.png,92.0,31.0,61.0,78.0
1280w-7NdToF9SL00_t6_singleshot__regression,regression,1280w-7NdToF9SL00,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Expand the bottom-right “LIVE MUSIC BY OLIVIA WILSON” text into: “Live music by Olivia Wilson with cozy acoustic vibes, soulful covers, and uplifting originals.”",images/1280w-7NdToF9SL00_t6_singleshot__regression__aesthetic.png,images/1280w-7NdToF9SL00_t6_singleshot__regression__non_aesthetic.png,93.0,74.0,19.0,99.0
1280w-7NdToF9SL00_t13_singleshot__regression,regression,1280w-7NdToF9SL00,13,Add Secondary Text Block,singleshot,gemini/gemini-2.5-pro,"Add a small italic subtitle centered beneath “MUSIC AND WINE PARTY” reading “Sip, sway, and unwind,” in deep forest green to fill negative space.",images/1280w-7NdToF9SL00_t13_singleshot__regression__aesthetic.png,images/1280w-7NdToF9SL00_t13_singleshot__regression__non_aesthetic.png,93.0,74.0,19.0,85.0
1131w-zsrhBwj_J58_t10_singleshot__regression,regression,1131w-zsrhBwj_J58,10,Background Replacement,singleshot,gemini/gemini-2.5-pro,Replace the gray paper background with a faded retro wallpaper pattern—pale beige with subtle geometric motifs in #EADFCF—so the green headline and garment remain highly legible.,images/1131w-zsrhBwj_J58_t10_singleshot__regression__aesthetic.png,images/1131w-zsrhBwj_J58_t10_singleshot__regression__non_aesthetic.png,69.0,63.0,6.0,0.0
1143w-ugSBoa9VtEw_t5_singleshot__regression,regression,1143w-ugSBoa9VtEw,5,Object Addition,singleshot,gemini/gemini-2.5-pro,Add a small deep forest green leaf sprig illustration in the upper-right corner near the “Natural Skincare” headline to balance the composition.,images/1143w-ugSBoa9VtEw_t5_singleshot__regression__aesthetic.png,images/1143w-ugSBoa9VtEw_t5_singleshot__regression__non_aesthetic.png,68.0,11.0,57.0,100.0
1600w-4gpfnsQOREQ_t1_singleshot__regression,regression,1600w-4gpfnsQOREQ,1,Translation,singleshot,gemini/gemini-2.5-pro,"Translate all on-screen text to French: 'REMINDER' → 'RAPPEL', 'Your productivity doesn’t define you.' → 'Votre productivité ne vous définit pas.', 'Yes' → 'Oui', 'No' → 'Non'.",images/1600w-4gpfnsQOREQ_t1_singleshot__regression__aesthetic.png,images/1600w-4gpfnsQOREQ_t1_singleshot__regression__non_aesthetic.png,83.0,51.0,32.0,100.0
1600w-3BBdsD4EXsY_t4_singleshot__regression,regression,1600w-3BBdsD4EXsY,4,Object Removal,singleshot,gemini/gemini-2.5-pro,"Remove the top peg and hole; move the canvas and text up slightly to re-center on the easel, keeping equal margins above and below and text centered.",images/1600w-3BBdsD4EXsY_t4_singleshot__regression__aesthetic.png,images/1600w-3BBdsD4EXsY_t4_singleshot__regression__non_aesthetic.png,82.0,58.0,24.0,66.0
1131w-9cN5biKALLQ_t7_singleshot__regression,regression,1131w-9cN5biKALLQ,7,Image Replacement,singleshot,gemini/gemini-2.5-pro,"Swap the bold blue “ICE FOR SALE” central typography for a similarly centered “HOT COFFEE” theme with warm browns and subtle steam illustration, keeping the minimal layout.",images/1131w-9cN5biKALLQ_t7_singleshot__regression__aesthetic.png,images/1131w-9cN5biKALLQ_t7_singleshot__regression__non_aesthetic.png,84.0,76.0,8.0,0.0
1600w-DB7VCKEjrvU_t12_singleshot__regression,regression,1600w-DB7VCKEjrvU,12,Contrast & Readability Enhancement,singleshot,gemini/gemini-2.5-pro,"Brighten the teal ""M"" shape to a lighter aqua (#74D1E1) to improve contrast against the deep slate background, leaving other logo colors unchanged.",images/1600w-DB7VCKEjrvU_t12_singleshot__regression__aesthetic.png,images/1600w-DB7VCKEjrvU_t12_singleshot__regression__non_aesthetic.png,91.0,82.0,9.0,100.0
1131w-zsrhBwj_J58_t6_singleshot__regression,regression,1131w-zsrhBwj_J58,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,"Expand the bottom-center body paragraph above the URL to 2–3× length, keeping tone; mention curated vintage apparel, rare home decor, sustainable finds, live music, and family-friendly activities; preserve alignment.",images/1131w-zsrhBwj_J58_t6_singleshot__regression__aesthetic.png,images/1131w-zsrhBwj_J58_t6_singleshot__regression__non_aesthetic.png,69.0,63.0,6.0,97.0
1600w-00kdfU4MHKA_t9_singleshot__regression,regression,1600w-00kdfU4MHKA,9,Accent Recolor,singleshot,gemini/gemini-2.5-pro,"Recolor the large ""STYLE"" text block to deep forest green #184D3A.",images/1600w-00kdfU4MHKA_t9_singleshot__regression__aesthetic.png,images/1600w-00kdfU4MHKA_t9_singleshot__regression__non_aesthetic.png,97.0,95.0,2.0,100.0
1600w-9eXC-dXI0uE_t12_singleshot__regression,regression,1600w-9eXC-dXI0uE,12,Contrast & Readability Enhancement,singleshot,gemini/gemini-2.5-pro,Add a thin white (#FFFFFF) outline around the man where his purple shirt overlaps the royal purple panel to improve edge contrast.,images/1600w-9eXC-dXI0uE_t12_singleshot__regression__aesthetic.png,images/1600w-9eXC-dXI0uE_t12_singleshot__regression__non_aesthetic.png,74.0,32.0,42.0,100.0
1131w-zau150HLMWk_t4_singleshot__regression,regression,1131w-zau150HLMWk,4,Object Removal,singleshot,gemini/gemini-2.5-pro,Remove the dotted oval border around the lobster; enlarge the lobster illustration slightly and re-center it to maintain visual weight while keeping the top and bottom text positions unchanged.,images/1131w-zau150HLMWk_t4_singleshot__regression__aesthetic.png,images/1131w-zau150HLMWk_t4_singleshot__regression__non_aesthetic.png,79.0,63.0,16.0,100.0
1131w-50t2MzJLmsM_t4_singleshot__regression,regression,1131w-50t2MzJLmsM,4,Object Removal,singleshot,gemini/gemini-2.5-pro,Remove the two dashed divider lines in the bottom info block; slightly increase line spacing and vertically center the three text lines within the lower-left area.,images/1131w-50t2MzJLmsM_t4_singleshot__regression__aesthetic.png,images/1131w-50t2MzJLmsM_t4_singleshot__regression__non_aesthetic.png,86.0,85.0,1.0,100.0
1600w-9JTrLkx-Ppg_t4_singleshot__regression,regression,1600w-9JTrLkx-Ppg,4,Object Removal,singleshot,gemini/gemini-2.5-pro,"Remove the “Fauget Co.” label and its purple bar at top-left; move the “Juliana Silva” and “Business Consultant” block slightly upward-left to balance, keeping other elements unchanged.",images/1600w-9JTrLkx-Ppg_t4_singleshot__regression__aesthetic.png,images/1600w-9JTrLkx-Ppg_t4_singleshot__regression__non_aesthetic.png,65.0,64.0,1.0,100.0
1600w-NEoYkSVC058_t14_singleshot__regression,regression,1600w-NEoYkSVC058,14,Theme Restyling,singleshot,gemini/gemini-2.5-pro,"Restyle for winter holidays: switch right panel to deep forest green, change accents to gold #D4AF37, replace coat sketch with minimal snowflake line art, preserve layout and existing typography.",images/1600w-NEoYkSVC058_t14_singleshot__regression__aesthetic.png,images/1600w-NEoYkSVC058_t14_singleshot__regression__non_aesthetic.png,72.0,57.0,15.0,96.0
1600w-OnW3L3V5tgI_t1_singleshot__regression,regression,1600w-OnW3L3V5tgI,1,Translation,singleshot,gemini/gemini-2.5-pro,Replace the headline “HUMAN-GRADE. Dog-approved.” with Spanish: “DE CALIDAD PARA HUMANOS. Aprobado por perros.” keeping the existing uppercase bold and layout.,images/1600w-OnW3L3V5tgI_t1_singleshot__regression__aesthetic.png,images/1600w-OnW3L3V5tgI_t1_singleshot__regression__non_aesthetic.png,93.0,92.0,1.0,34.0
1131w-9cN5biKALLQ_t5_singleshot__regression,regression,1131w-9cN5biKALLQ,5,Object Addition,singleshot,gemini/gemini-2.5-pro,"Add a small snowflake icon above “ICE,” centered, in the same deep blue to fill the empty top space.",images/1131w-9cN5biKALLQ_t5_singleshot__regression__aesthetic.png,images/1131w-9cN5biKALLQ_t5_singleshot__regression__non_aesthetic.png,84.0,76.0,8.0,0.0
1236w-JT1Z7rx2PuU_t4_singleshot__regression,regression,1236w-JT1Z7rx2PuU,4,Object Removal,singleshot,gemini/gemini-2.5-pro,Remove the top-left “AUTUMN ’23” and top-right “@REALLYGREATSITE”; raise “AROWWAI PRESENTS” to the top center with slightly increased spacing to maintain balance.,images/1236w-JT1Z7rx2PuU_t4_singleshot__regression__aesthetic.png,images/1236w-JT1Z7rx2PuU_t4_singleshot__regression__non_aesthetic.png,88.0,82.0,6.0,100.0
1257w-dnPJ18q1Q2E_t6_singleshot__regression,regression,1257w-dnPJ18q1Q2E,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,Expand the top tagline “FROM DIRECTOR OF LOVE IN BLOOM DANIEL GALLEGO” into a 2–3× longer uppercase paragraph that wraps across the top while maintaining alignment and spacing.,images/1257w-dnPJ18q1Q2E_t6_singleshot__regression__aesthetic.png,images/1257w-dnPJ18q1Q2E_t6_singleshot__regression__non_aesthetic.png,89.0,80.0,9.0,38.0
1600w-4gpfnsQOREQ_t10_singleshot__regression,regression,1600w-4gpfnsQOREQ,10,Background Replacement,singleshot,gemini/gemini-2.5-pro,Replace the pink background with a moody midnight blue gradient (#0A1A2A to #1E3A5F) to shift tone while preserving strong contrast with the white phone screen and card.,images/1600w-4gpfnsQOREQ_t10_singleshot__regression__aesthetic.png,images/1600w-4gpfnsQOREQ_t10_singleshot__regression__non_aesthetic.png,83.0,51.0,32.0,0.0
1131w-xPTl82ZC-e4_t7_singleshot__regression,regression,1131w-xPTl82ZC-e4,7,Image Replacement,singleshot,gemini/gemini-2.5-pro,"Replace the central retro woman eating popcorn with a vintage barista holding a steaming mug above an overflowing burlap sack of coffee beans, keeping the centered composition.",images/1131w-xPTl82ZC-e4_t7_singleshot__regression__aesthetic.png,images/1131w-xPTl82ZC-e4_t7_singleshot__regression__non_aesthetic.png,75.0,26.0,49.0,93.0
1131w-02GXIIidf_4_t14_singleshot__regression,regression,1131w-02GXIIidf_4,14,Theme Restyling,singleshot,gemini/gemini-2.5-pro,"Recolor all red and yellow elements (top/bottom bars, reward stamp, highlight) to deep forest green #184D3A and gold #D4AF37 for a winter holiday theme, preserving the layout.",images/1131w-02GXIIidf_4_t14_singleshot__regression__aesthetic.png,images/1131w-02GXIIidf_4_t14_singleshot__regression__non_aesthetic.png,88.0,55.0,33.0,46.0
1600w-Vu6fJpXHfB0_t9_singleshot__regression,regression,1600w-Vu6fJpXHfB0,9,Accent Recolor,singleshot,gemini/gemini-2.5-pro,Recolor the large question mark to deep royal blue #1F3C88.,images/1600w-Vu6fJpXHfB0_t9_singleshot__regression__aesthetic.png,images/1600w-Vu6fJpXHfB0_t9_singleshot__regression__non_aesthetic.png,91.0,79.0,12.0,57.0
1131w-02GXIIidf_4_t8_singleshot__regression,regression,1131w-02GXIIidf_4,8,Typography Style Shift,singleshot,gemini/gemini-2.5-pro,Switch the “DONNA” header to title-case tall serif in regular weight to soften the tone.,images/1131w-02GXIIidf_4_t8_singleshot__regression__aesthetic.png,images/1131w-02GXIIidf_4_t8_singleshot__regression__non_aesthetic.png,88.0,55.0,33.0,100.0
1600w-GQFPH6ndGO4_t0_singleshot__regression,regression,1600w-GQFPH6ndGO4,0,Color Palette Variation,singleshot,gemini/gemini-2.5-pro,"Recolor to a cool fresh palette: swap yellow/pink background and dots for mint→teal gradient (#DFFAF2–#00A896), change black typography to deep navy (#0B1F3B), and button to white with navy text.",images/1600w-GQFPH6ndGO4_t0_singleshot__regression__aesthetic.png,images/1600w-GQFPH6ndGO4_t0_singleshot__regression__non_aesthetic.png,96.0,68.0,28.0,20.0
1280w-7NdToF9SL00_t1_singleshot__regression,regression,1280w-7NdToF9SL00,1,Translation,singleshot,gemini/gemini-2.5-pro,"Translate all visible text to Spanish, setting the headline to 'FIESTA DE MÚSICA Y VINO'.",images/1280w-7NdToF9SL00_t1_singleshot__regression__aesthetic.png,images/1280w-7NdToF9SL00_t1_singleshot__regression__non_aesthetic.png,93.0,74.0,19.0,100.0
1600w-bU_eCuLHDN8_t6_singleshot__regression,regression,1600w-bU_eCuLHDN8,6,Copy Expansion,singleshot,gemini/gemini-2.5-pro,Expand the black “A LITTLE HEADS UP” text to: “A little heads up: I’m stepping away briefly and replies may lag.”,images/1600w-bU_eCuLHDN8_t6_singleshot__regression__aesthetic.png,images/1600w-bU_eCuLHDN8_t6_singleshot__regression__non_aesthetic.png,57.0,45.0,12.0,87.0
1600w-J2-prU82nP4_t10_singleshot__regression,regression,1600w-J2-prU82nP4,10,Background Replacement,singleshot,gemini/gemini-2.5-pro,"Replace the flat green background with a warm peach (#FFC8A2) to pale yellow (#FFF3B0) gradient, maintaining sufficient contrast for the black headline and white-outlined subject.",images/1600w-J2-prU82nP4_t10_singleshot__regression__aesthetic.png,images/1600w-J2-prU82nP4_t10_singleshot__regression__non_aesthetic.png,93.0,75.0,18.0,41.0
