design,template_id,template_name,categories,instruction,agent,model,edit_id,edit_path,render_path,status,aesthetic_score,original_score,score_diff,edit_quality_score
1280w-l2k_WnNosUU,7,Image Replacement,"image,layout,local",Replace the colorful starburst day badges and rounded event bars with minimalist monochrome corporate agenda bars and simple circle day markers.,singleshot,gemini/gemini-2.5-pro,1280w-l2k_WnNosUU_t7_singleshot,../edits/1280w-l2k_WnNosUU_t7_singleshot/spec.json,../edits/1280w-l2k_WnNosUU_t7_singleshot/render.png,success,66.0,76.0,-10.0,0.0
1257w-dnPJ18q1Q2E,13,Add Secondary Text Block,"text,layout,local","Add a small italic sans-serif subtitle 'Two hearts, one lifetime.' centered beneath 'OUR LOVE' in soft cream #F6E3D3 with slight letter-spacing, balancing the space above the figure.",singleshot,gemini/gemini-2.5-pro,1257w-dnPJ18q1Q2E_t13_singleshot,../edits/1257w-dnPJ18q1Q2E_t13_singleshot/spec.json,../edits/1257w-dnPJ18q1Q2E_t13_singleshot/render.png,success,80.0,,,100.0
1600w-Vu6fJpXHfB0,3,Global Layout Change,"layout,global","Reflow to a two-column layout: pin the question mark left; stack 'DID YOU KNOW' above the fact text right, center-aligned with generous whitespace.",singleshot,gemini/gemini-2.5-pro,1600w-Vu6fJpXHfB0_t3_singleshot,../edits/1600w-Vu6fJpXHfB0_t3_singleshot/spec.json,../edits/1600w-Vu6fJpXHfB0_t3_singleshot/render.png,success,79.0,91.0,-12.0,42.0
1257w-EN_LTZdAMlw,8,Typography Style Shift,"text,style,global","Replace the “PUMPKIN PATCH FESTIVAL” headline with a tall serif, uppercase, high-contrast style, removing the distressed texture to create an elegant tone.",singleshot,gemini/gemini-2.5-pro,1257w-EN_LTZdAMlw_t8_singleshot,../edits/1257w-EN_LTZdAMlw_t8_singleshot/spec.json,../edits/1257w-EN_LTZdAMlw_t8_singleshot/render.png,success,64.0,,,100.0
1600w-zcHQ3XLP3Ow,3,Global Layout Change,"layout,global",Convert to a split layout: left half full-bleed abstract; right half solid #0F1115 holding all text stacked; add a bottom-spanning footer bar for the handle and icons.,singleshot,gemini/gemini-2.5-pro,1600w-zcHQ3XLP3Ow_t3_singleshot,../edits/1600w-zcHQ3XLP3Ow_t3_singleshot/spec.json,../edits/1600w-zcHQ3XLP3Ow_t3_singleshot/render.png,success,82.0,,,68.0
1257w-dnPJ18q1Q2E,2,2-Element Layout Swap,"layout,global","Swap the headline and the main image positions, placing the woman’s portrait centered top and the title centered in the lower half, preserving equal side margins for balance.",singleshot,gemini/gemini-2.5-pro,1257w-dnPJ18q1Q2E_t2_singleshot,../edits/1257w-dnPJ18q1Q2E_t2_singleshot/spec.json,../edits/1257w-dnPJ18q1Q2E_t2_singleshot/render.png,success,80.0,,,100.0
900w-r5rfhPArHDg,6,Copy Expansion,"text,layout,global","Replace the lower-left sentence with: Enjoy our crispy waffle with rich chocolate sauce—freshly baked, wonderfully warm, indulgent and satisfying, perfect for sharing and pairing with coffee or afternoon tea.",singleshot,gemini/gemini-2.5-pro,900w-r5rfhPArHDg_t6_singleshot,../edits/900w-r5rfhPArHDg_t6_singleshot/spec.json,../edits/900w-r5rfhPArHDg_t6_singleshot/render.png,success,77.0,75.0,2.0,21.0
1600w-NwdmmHkEOxk,13,Add Secondary Text Block,"text,layout,local","Add a small italic subtitle below “Together, We Can Make a Difference”: “Small acts create big change.” in deep forest green.",singleshot,gemini/gemini-2.5-pro,1600w-NwdmmHkEOxk_t13_singleshot,../edits/1600w-NwdmmHkEOxk_t13_singleshot/spec.json,../edits/1600w-NwdmmHkEOxk_t13_singleshot/render.png,success,54.0,40.0,14.0,
848w-x9A8Hm2mD6U,7,Image Replacement,"image,layout,local","Replace the minimalist office desk photo with a cozy coffee shop tabletop scene—latte, notebook, and small plant—maintaining the round table composition and soft, neutral lighting.",singleshot,gemini/gemini-2.5-pro,848w-x9A8Hm2mD6U_t7_singleshot,../edits/848w-x9A8Hm2mD6U_t7_singleshot/spec.json,../edits/848w-x9A8Hm2mD6U_t7_singleshot/render.png,success,62.0,70.0,-8.0,97.0
1600w-NcQMz5zOIyQ,6,Copy Expansion,"text,layout,global","Expand the bottom “YOU ARE INVITED” into: “You’re invited to dance, celebrate, and enjoy tonight!” with wrapping.",singleshot,gemini/gemini-2.5-pro,1600w-NcQMz5zOIyQ_t6_singleshot,../edits/1600w-NcQMz5zOIyQ_t6_singleshot/spec.json,../edits/1600w-NcQMz5zOIyQ_t6_singleshot/render.png,success,61.0,62.0,-1.0,100.0
1600w-mQV8WxekDho,6,Copy Expansion,"text,layout,global","Expand the 'OUR EXCLUSIVE SALE PROMOTION EVENT IS HERE!' block into a 2–3× longer uppercase paragraph in white, centered beneath the headline, preserving playful tone and balanced spacing.",singleshot,gemini/gemini-2.5-pro,1600w-mQV8WxekDho_t6_singleshot,../edits/1600w-mQV8WxekDho_t6_singleshot/spec.json,../edits/1600w-mQV8WxekDho_t6_singleshot/render.png,success,80.0,61.0,19.0,65.0
1135w-e1BT38mksX0,9,Accent Recolor,"color,local","Recolor the ""HALLOWEEN"" headline text to deep purple #6A3CBC.",singleshot,gemini/gemini-2.5-pro,1135w-e1BT38mksX0_t9_singleshot,../edits/1135w-e1BT38mksX0_t9_singleshot/spec.json,../edits/1135w-e1BT38mksX0_t9_singleshot/render.png,success,34.0,55.0,-21.0,
1600w-jlhsA8F30Lk,4,Object Removal,"layout,local","Remove the megaphone illustration; enlarge and shift the speech bubble slightly left to fill space, keeping “WE ARE OPEN TODAY” centered and the time aligned bottom-right inside.",singleshot,gemini/gemini-2.5-pro,1600w-jlhsA8F30Lk_t4_singleshot,../edits/1600w-jlhsA8F30Lk_t4_singleshot/spec.json,../edits/1600w-jlhsA8F30Lk_t4_singleshot/render.png,success,81.0,82.0,-1.0,66.0
1600w-laANf5rvLUw,4,Object Removal,"layout,local","Remove the top-right portrait; move the “GIRL’S PARTY” heading and body copy rightward to fill the space, keeping left alignment and avoiding overlap with the 2004 figures.",singleshot,gemini/gemini-2.5-pro,1600w-laANf5rvLUw_t4_singleshot,../edits/1600w-laANf5rvLUw_t4_singleshot/spec.json,../edits/1600w-laANf5rvLUw_t4_singleshot/render.png,success,58.0,58.0,0.0,60.0
1131w-Cn6h5Tqrn10,1,Translation,"text,global","Translate 'Daily Motivation' to 'Motivación diaria' and the headline to '“Mantente inspirado, nunca dejes de crear”'.",singleshot,gemini/gemini-2.5-pro,1131w-Cn6h5Tqrn10_t1_singleshot,../edits/1131w-Cn6h5Tqrn10_t1_singleshot/spec.json,../edits/1131w-Cn6h5Tqrn10_t1_singleshot/render.png,success,79.0,,,98.0
1600w-F-yK2D5pels,3,Global Layout Change,"layout,global",Refactor to split-screen: left shows centered 'MEDIA KIT' on solid background; right stacks the three images vertically; position 'COLLAB STUDIO' left and the button right in a top bar.,singleshot,gemini/gemini-2.5-pro,1600w-F-yK2D5pels_t3_singleshot,../edits/1600w-F-yK2D5pels_t3_singleshot/spec.json,../edits/1600w-F-yK2D5pels_t3_singleshot/render.png,success,72.0,98.0,-26.0,55.0
900w-8g4EBLeikgE,12,Contrast & Readability Enhancement,"color,style,local","Add a thin cream (#F4E7D7) stroke around the ""Fast, Fresh & Delicious"" script to improve legibility against the mustard ""LUNCH TIMES"" background.",singleshot,gemini/gemini-2.5-pro,900w-8g4EBLeikgE_t12_singleshot,../edits/900w-8g4EBLeikgE_t12_singleshot/spec.json,../edits/900w-8g4EBLeikgE_t12_singleshot/render.png,success,76.0,88.0,-12.0,
1600w-Rx4XBLKvk68,10,Background Replacement,"image,color,global",Replace the plain light-gray background with a soft off-white-to-sage gradient (#F8F8F5→#D7E4D1) to create calm depth while preserving clear contrast with green headline and central subject.,singleshot,gemini/gemini-2.5-pro,1600w-Rx4XBLKvk68_t10_singleshot,../edits/1600w-Rx4XBLKvk68_t10_singleshot/spec.json,../edits/1600w-Rx4XBLKvk68_t10_singleshot/render.png,success,85.0,74.0,11.0,100.0
1131w-sSnAV2dB_qg,10,Background Replacement,"image,color,global","Replace the cloudy background with a dark charcoal (#111111) to navy (#0B2345) gradient featuring faint bokeh glows, preserving clear contrast around the subject’s silhouette and all text.",singleshot,gemini/gemini-2.5-pro,1131w-sSnAV2dB_qg_t10_singleshot,../edits/1131w-sSnAV2dB_qg_t10_singleshot/spec.json,../edits/1131w-sSnAV2dB_qg_t10_singleshot/render.png,success,96.0,94.0,2.0,
1257w-dnPJ18q1Q2E,8,Typography Style Shift,"text,style,global",Switch “THE STORY OF OUR LOVE” to a tall serif font to shift the tone from bold to elegant.,singleshot,gemini/gemini-2.5-pro,1257w-dnPJ18q1Q2E_t8_singleshot,../edits/1257w-dnPJ18q1Q2E_t8_singleshot/spec.json,../edits/1257w-dnPJ18q1Q2E_t8_singleshot/render.png,success,80.0,,,87.0
1600w-DVXZyB158ss,9,Accent Recolor,"color,local","Recolor the ""ABOUT ME"" heading to deep forest green #184D3A.",singleshot,gemini/gemini-2.5-pro,1600w-DVXZyB158ss_t9_singleshot,../edits/1600w-DVXZyB158ss_t9_singleshot/spec.json,../edits/1600w-DVXZyB158ss_t9_singleshot/render.png,success,58.0,86.0,-28.0,100.0
1600w-mQV8WxekDho,9,Accent Recolor,"color,local",Recolor the “DON’T MISS OUT” headline’s yellow outline to crisp white (#FFFFFF).,singleshot,gemini/gemini-2.5-pro,1600w-mQV8WxekDho_t9_singleshot,../edits/1600w-mQV8WxekDho_t9_singleshot/spec.json,../edits/1600w-mQV8WxekDho_t9_singleshot/render.png,success,80.0,61.0,19.0,100.0
1280w-l2k_WnNosUU,10,Background Replacement,"image,color,global","Replace the peach background with a dark slate #1E293B–#0F172A vertical gradient to create an evening mood, keeping all colored event bars and text clearly legible.",singleshot,gemini/gemini-2.5-pro,1280w-l2k_WnNosUU_t10_singleshot,../edits/1280w-l2k_WnNosUU_t10_singleshot/spec.json,../edits/1280w-l2k_WnNosUU_t10_singleshot/render.png,success,66.0,76.0,-10.0,100.0
1143w-6-Ht1iOh8uw,9,Accent Recolor,"color,local","Change the ""MONDAY"" text color to deep red #C81D25.",singleshot,gemini/gemini-2.5-pro,1143w-6-Ht1iOh8uw_t9_singleshot,../edits/1143w-6-Ht1iOh8uw_t9_singleshot/spec.json,../edits/1143w-6-Ht1iOh8uw_t9_singleshot/render.png,success,78.0,90.0,-12.0,
1131w-zsrhBwj_J58,9,Accent Recolor,"color,local",Recolor the “RETRO REWIND” headline to deep forest green #184D3A to heighten emphasis while harmonizing with the green statue and gray background.,singleshot,gemini/gemini-2.5-pro,1131w-zsrhBwj_J58_t9_singleshot,../edits/1131w-zsrhBwj_J58_t9_singleshot/spec.json,../edits/1131w-zsrhBwj_J58_t9_singleshot/render.png,success,63.0,69.0,-6.0,100.0
624w-UZhVzgGhAZA,11,Hierarchy Adjustment,"layout,text,global",Scale the fruit illustration to huge and center it; shrink “LUNCH HOURS EVERY DAY” to smaller body size below so the image becomes the dominant focal point.,singleshot,gemini/gemini-2.5-pro,624w-UZhVzgGhAZA_t11_singleshot,../edits/624w-UZhVzgGhAZA_t11_singleshot/spec.json,../edits/624w-UZhVzgGhAZA_t11_singleshot/render.png,success,76.0,62.0,14.0,28.0
1257w-dnPJ18q1Q2E,3,Global Layout Change,"layout,global","Reflow into a vertical split layout: left half full-bleed image; right half solid #C52B24 with tagline top, stacked title below, cast names mid, credits bottom, all right-aligned.",singleshot,gemini/gemini-2.5-pro,1257w-dnPJ18q1Q2E_t3_singleshot,../edits/1257w-dnPJ18q1Q2E_t3_singleshot/spec.json,../edits/1257w-dnPJ18q1Q2E_t3_singleshot/render.png,success,80.0,,,0.0
1600w-ROAkphj1zsA,5,Object Addition,"layout,local","Add a small deep forest green mountain icon with a red flag above the exclamation mark, left-aligned with the headline, to fill the top-left space and balance the layout.",singleshot,gemini/gemini-2.5-pro,1600w-ROAkphj1zsA_t5_singleshot,../edits/1600w-ROAkphj1zsA_t5_singleshot/spec.json,../edits/1600w-ROAkphj1zsA_t5_singleshot/render.png,success,98.0,98.0,0.0,100.0
624w-UZhVzgGhAZA,2,2-Element Layout Swap,"layout,global","Swap the central fruit illustration with the “LUNCH HOURS EVERY DAY” headline, placing the headline above centered and the illustration below with equal vertical spacing.",singleshot,gemini/gemini-2.5-pro,624w-UZhVzgGhAZA_t2_singleshot,../edits/624w-UZhVzgGhAZA_t2_singleshot/spec.json,../edits/624w-UZhVzgGhAZA_t2_singleshot/render.png,success,76.0,62.0,14.0,19.0
1257w-dnPJ18q1Q2E,12,Contrast & Readability Enhancement,"color,style,local",Add a semi-transparent deep maroon (#5A0F0F) horizontal band behind the bottom cast names and tiny credits to boost contrast against the red background and jacket.,singleshot,gemini/gemini-2.5-pro,1257w-dnPJ18q1Q2E_t12_singleshot,../edits/1257w-dnPJ18q1Q2E_t12_singleshot/spec.json,../edits/1257w-dnPJ18q1Q2E_t12_singleshot/render.png,success,80.0,,,
1600w-eqZAnXprFhg,5,Object Addition,"layout,local","Add a small white lightbulb icon to the upper-right of the orange header bar, right of the “Explore ideas…” text, matching line weight and centered vertically.",singleshot,gemini/gemini-2.5-pro,1600w-eqZAnXprFhg_t5_singleshot,../edits/1600w-eqZAnXprFhg_t5_singleshot/spec.json,../edits/1600w-eqZAnXprFhg_t5_singleshot/render.png,success,71.0,58.0,13.0,100.0
1280w-sqmHAnUAgsI,6,Copy Expansion,"text,layout,global","Add a body sans-serif paragraph overlay at the bottom-left of the central couple image, #1A1A1A, left-aligned, 70–90 words about minimalist summer style and sunglasses, to test wrapping within width.",singleshot,gemini/gemini-2.5-pro,1280w-sqmHAnUAgsI_t6_singleshot,../edits/1280w-sqmHAnUAgsI_t6_singleshot/spec.json,../edits/1280w-sqmHAnUAgsI_t6_singleshot/render.png,success,97.0,98.0,-1.0,82.0
1600w-K18O8e4K488,8,Typography Style Shift,"text,style,global",Switch the “LIVE WEBINAR” headline to a tall serif.,singleshot,gemini/gemini-2.5-pro,1600w-K18O8e4K488_t8_singleshot,../edits/1600w-K18O8e4K488_t8_singleshot/spec.json,../edits/1600w-K18O8e4K488_t8_singleshot/render.png,success,58.0,77.0,-19.0,100.0
1600w-m4qQZp-grvQ,12,Contrast & Readability Enhancement,"color,style,local",Add a semi-transparent deep charcoal (#1E1E1E) oval fill inside the existing white outline behind “BORCELLE” to improve contrast against the beige jacket.,singleshot,gemini/gemini-2.5-pro,1600w-m4qQZp-grvQ_t12_singleshot,../edits/1600w-m4qQZp-grvQ_t12_singleshot/spec.json,../edits/1600w-m4qQZp-grvQ_t12_singleshot/render.png,success,74.0,81.0,-7.0,8.0
1600w-xCuy4vLKWKc,1,Translation,"text,global",Translate all on-image text to Spanish: “Cómo crear una lista de correo desde cero” and button “Desliza para ver consejos”.,singleshot,gemini/gemini-2.5-pro,1600w-xCuy4vLKWKc_t1_singleshot,../edits/1600w-xCuy4vLKWKc_t1_singleshot/spec.json,../edits/1600w-xCuy4vLKWKc_t1_singleshot/render.png,success,60.0,59.0,1.0,67.0
1600w-p1o6ND26wWg,6,Copy Expansion,"text,layout,global","Expand the bottom paragraph below the drink to 2–3× length, preserving friendly studio tone, sans-serif styling, and current alignment, to test wrapping and overflow without shifting overall layout.",singleshot,gemini/gemini-2.5-pro,1600w-p1o6ND26wWg_t6_singleshot,../edits/1600w-p1o6ND26wWg_t6_singleshot/spec.json,../edits/1600w-p1o6ND26wWg_t6_singleshot/render.png,success,93.0,98.0,-5.0,87.0
1600w-7YZFYlcCTPk,1,Translation,"text,global","Replace “STAY TUNED” with “MANTENTE AL TANTO” and “COMING SOON” with “PRÓXIMAMENTE,” keeping uppercase bold styling.",singleshot,gemini/gemini-2.5-pro,1600w-7YZFYlcCTPk_t1_singleshot,../edits/1600w-7YZFYlcCTPk_t1_singleshot/spec.json,../edits/1600w-7YZFYlcCTPk_t1_singleshot/render.png,success,78.0,75.0,3.0,40.0
1600w-ROAkphj1zsA,0,Color Palette Variation,"color,global","Recolor palette: set background #0B1D3A, text mint #D0F4EA; change smiley face to warm coral #FF9F6A, limbs deep teal #0E5E55, shadow #0E5E55, keep gloves/eyes white for readability.",singleshot,gemini/gemini-2.5-pro,1600w-ROAkphj1zsA_t0_singleshot,../edits/1600w-ROAkphj1zsA_t0_singleshot/spec.json,../edits/1600w-ROAkphj1zsA_t0_singleshot/render.png,success,98.0,98.0,0.0,46.0
1257w-w-iZnixy-TU,4,Object Removal,"layout,local","Remove the white star icon under the shirt; scale up and vertically center “CLUB CLASSICS” slightly to fill the gap, keeping the shirt and bottom information bar unchanged.",singleshot,gemini/gemini-2.5-pro,1257w-w-iZnixy-TU_t4_singleshot,../edits/1257w-w-iZnixy-TU_t4_singleshot/spec.json,../edits/1257w-w-iZnixy-TU_t4_singleshot/render.png,success,83.0,76.0,7.0,100.0
1280w-7NdToF9SL00,10,Background Replacement,"image,color,global","Replace the cream background with a soft blush-to-peach gradient (#FADADD to #FFC6A0) to evoke a warm evening vibe, ensuring all black illustrations and text remain clearly legible.",singleshot,gemini/gemini-2.5-pro,1280w-7NdToF9SL00_t10_singleshot,../edits/1280w-7NdToF9SL00_t10_singleshot/spec.json,../edits/1280w-7NdToF9SL00_t10_singleshot/render.png,success,74.0,93.0,-19.0,70.0
1600w-FAqixqKkICk,4,Object Removal,"layout,local","Delete the line ""CONFIDENT,"" and tighten line spacing; recenter the remaining uppercase text within the notepad to keep the layout balanced.",singleshot,gemini/gemini-2.5-pro,1600w-FAqixqKkICk_t4_singleshot,../edits/1600w-FAqixqKkICk_t4_singleshot/spec.json,../edits/1600w-FAqixqKkICk_t4_singleshot/render.png,success,71.0,72.0,-1.0,80.0
1135w-537M02wjfK8,1,Translation,"text,global","Translate to Spanish: OLIVIA Y DANIEL; Junto con sus familias invitan a su boda; 20.10.2029 | 2 p. m.; Calle Anywhere 123, Any City, ST 12345; ¡Recepción a continuación!",singleshot,gemini/gemini-2.5-pro,1135w-537M02wjfK8_t1_singleshot,../edits/1135w-537M02wjfK8_t1_singleshot/spec.json,../edits/1135w-537M02wjfK8_t1_singleshot/render.png,success,31.0,92.0,-61.0,78.0
1280w-7NdToF9SL00,6,Copy Expansion,"text,layout,global","Expand the bottom-right “LIVE MUSIC BY OLIVIA WILSON” text into: “Live music by Olivia Wilson with cozy acoustic vibes, soulful covers, and uplifting originals.”",singleshot,gemini/gemini-2.5-pro,1280w-7NdToF9SL00_t6_singleshot,../edits/1280w-7NdToF9SL00_t6_singleshot/spec.json,../edits/1280w-7NdToF9SL00_t6_singleshot/render.png,success,74.0,93.0,-19.0,99.0
1600w-CxALar1xspQ,1,Translation,"text,global","Replace all English text with Spanish: ""Agencia de Marketing Digital"", ""Tu socio en el éxito digital"", and button ""Empieza ahora""; keep phone number and URL unchanged.",singleshot,gemini/gemini-2.5-pro,1600w-CxALar1xspQ_t1_singleshot,../edits/1600w-CxALar1xspQ_t1_singleshot/spec.json,../edits/1600w-CxALar1xspQ_t1_singleshot/render.png,success,58.0,56.0,2.0,
1600w-Rx4XBLKvk68,1,Translation,"text,global",Replace the 'PORTFOLIO' headline with the Spanish 'PORTAFOLIO' while preserving current styling.,singleshot,gemini/gemini-2.5-pro,1600w-Rx4XBLKvk68_t1_singleshot,../edits/1600w-Rx4XBLKvk68_t1_singleshot/spec.json,../edits/1600w-Rx4XBLKvk68_t1_singleshot/render.png,success,85.0,74.0,11.0,100.0
1280w-7NdToF9SL00,13,Add Secondary Text Block,"text,layout,local","Add a small italic subtitle centered beneath “MUSIC AND WINE PARTY” reading “Sip, sway, and unwind,” in deep forest green to fill negative space.",singleshot,gemini/gemini-2.5-pro,1280w-7NdToF9SL00_t13_singleshot,../edits/1280w-7NdToF9SL00_t13_singleshot/spec.json,../edits/1280w-7NdToF9SL00_t13_singleshot/render.png,success,74.0,93.0,-19.0,85.0
1280w-ubETEQUW1cc,6,Copy Expansion,"text,layout,global","Expand “SHOW YOUR COLORS AND MARCH WITH US!” to: “CELEBRATE LOVE AND UNITY AS WE FILL THE STREETS WITH PRIDE, MUSIC, AND JOY; COME MARCH WITH US TOGETHER.”",singleshot,gemini/gemini-2.5-pro,1280w-ubETEQUW1cc_t6_singleshot,../edits/1280w-ubETEQUW1cc_t6_singleshot/spec.json,../edits/1280w-ubETEQUW1cc_t6_singleshot/render.png,success,66.0,66.0,0.0,87.0
1280w-IV5gw4zs55c,3,Global Layout Change,"layout,global","Switch canvas to 16:9 landscape, replace wavy background with four vertical color blocks full-bleed, and center the paper note in the right half with balanced margins.",singleshot,gemini/gemini-2.5-pro,1280w-IV5gw4zs55c_t3_singleshot,../edits/1280w-IV5gw4zs55c_t3_singleshot/spec.json,../edits/1280w-IV5gw4zs55c_t3_singleshot/render.png,success,66.0,14.0,52.0,0.0
1131w-zsrhBwj_J58,10,Background Replacement,"image,color,global",Replace the gray paper background with a faded retro wallpaper pattern—pale beige with subtle geometric motifs in #EADFCF—so the green headline and garment remain highly legible.,singleshot,gemini/gemini-2.5-pro,1131w-zsrhBwj_J58_t10_singleshot,../edits/1131w-zsrhBwj_J58_t10_singleshot/spec.json,../edits/1131w-zsrhBwj_J58_t10_singleshot/render.png,success,63.0,69.0,-6.0,0.0
1131w-oRypOitC9EY,4,Object Removal,"layout,local","Remove the top ""CAR SALE"", ""LIVE MUSIC"", and ""CAR CONTEST""; move ""BORCELLE PRESENTS"" to the top center with generous spacing, and shift the ""RETRO CAR SHOW"" block upward to rebalance.",singleshot,gemini/gemini-2.5-pro,1131w-oRypOitC9EY_t4_singleshot,../edits/1131w-oRypOitC9EY_t4_singleshot/spec.json,../edits/1131w-oRypOitC9EY_t4_singleshot/render.png,success,77.0,74.0,3.0,100.0
1600w-u6z_9iKj-iQ,9,Accent Recolor,"color,local","Recolor the ""DIWALI"" headline to warm saffron #FFA726.",singleshot,gemini/gemini-2.5-pro,1600w-u6z_9iKj-iQ_t9_singleshot,../edits/1600w-u6z_9iKj-iQ_t9_singleshot/spec.json,../edits/1600w-u6z_9iKj-iQ_t9_singleshot/render.png,success,97.0,91.0,6.0,100.0
1600w-laANf5rvLUw,2,2-Element Layout Swap,"layout,global","Swap positions of the ""GIRL’S PARTY"" headline and the top-right portrait, aligning each to the other’s original spot for balanced spacing.",singleshot,gemini/gemini-2.5-pro,1600w-laANf5rvLUw_t2_singleshot,../edits/1600w-laANf5rvLUw_t2_singleshot/spec.json,../edits/1600w-laANf5rvLUw_t2_singleshot/render.png,success,58.0,58.0,0.0,65.0
1143w-ugSBoa9VtEw,5,Object Addition,"layout,local",Add a small deep forest green leaf sprig illustration in the upper-right corner near the “Natural Skincare” headline to balance the composition.,singleshot,gemini/gemini-2.5-pro,1143w-ugSBoa9VtEw_t5_singleshot,../edits/1143w-ugSBoa9VtEw_t5_singleshot/spec.json,../edits/1143w-ugSBoa9VtEw_t5_singleshot/render.png,success,11.0,68.0,-57.0,100.0
1600w-4gpfnsQOREQ,1,Translation,"text,global","Translate all on-screen text to French: 'REMINDER' → 'RAPPEL', 'Your productivity doesn’t define you.' → 'Votre productivité ne vous définit pas.', 'Yes' → 'Oui', 'No' → 'Non'.",singleshot,gemini/gemini-2.5-pro,1600w-4gpfnsQOREQ_t1_singleshot,../edits/1600w-4gpfnsQOREQ_t1_singleshot/spec.json,../edits/1600w-4gpfnsQOREQ_t1_singleshot/render.png,success,51.0,83.0,-32.0,100.0
