template_id,edit_type_id,edit_type,categories,instruction
1131w-02GXIIidf_4,5,Object Addition,"layout,local","Add a small #E63946 map-pin icon at the left edge of the yellow “Last seen at Borcelle Yard on June 08, 2022” bar, vertically centered for balance."
1131w-02GXIIidf_4,6,Copy Expansion,"text,layout,global","Expand the description paragraph beneath the photo to 2–3× length, keeping friendly tone and layout balance; include collar, yellow eyes, shy nature, and all-black tail details."
1131w-02GXIIidf_4,7,Image Replacement,"image,layout,local","Replace the central cat portrait with a front-facing close-up of a missing parrot on a perch, centered with similar soft lighting and a neutral background."
1131w-02GXIIidf_4,8,Typography Style Shift,"text,style,global",Switch the “DONNA” header to title-case tall serif in regular weight to soften the tone.
1131w-02GXIIidf_4,9,Accent Recolor,"color,local",Change the red “REWARD” stamp background to golden yellow (#FFC107).
1131w-02GXIIidf_4,10,Background Replacement,"image,color,global","Replace the light gray poster background with deep forest green textured paper to shift mood and increase contrast, ensuring all text and the cat photo remain clearly legible."
1131w-02GXIIidf_4,11,Hierarchy Adjustment,"layout,text,global","Enlarge the cat photo to occupy most of the layout, increasing its height to extend beneath the ""MISSING"" bar and above the ""Last seen"" section."
1131w-02GXIIidf_4,12,Contrast & Readability Enhancement,"color,style,local","Add a semi-opaque white (#FFFFFF, 85% opacity) rectangular overlay behind the small description paragraph beneath the photo to improve contrast and readability."
1131w-02GXIIidf_4,13,Add Secondary Text Block,"text,layout,local",Add a small italic subtitle 'Beloved family pet — answers to “Donna”.' centered under 'DONNA' header in dark gray #333 to tighten spacing above the photo.
1131w-02GXIIidf_4,14,Theme Restyling,"style,color,global","Recolor all red and yellow elements (top/bottom bars, reward stamp, highlight) to deep forest green #184D3A and gold #D4AF37 for a winter holiday theme, preserving the layout."
1131w-120Kpwxx3eY,0,Color Palette Variation,"color,global","Swap the cobalt blue accents and cream background to a warm desert palette: sand background #F6E7D7, terracotta headings/icons #C1523C, and charcoal body text/lines #2F2F2F."
1131w-120Kpwxx3eY,1,Translation,"text,global",Translate the subheadline 'Graphic Designer' to Japanese as 'グラフィックデザイナー'.
1131w-120Kpwxx3eY,2,2-Element Layout Swap,"layout,global","Swap positions of the top-left portrait photo and the “Estelle Darcy” headline block, preserving equal margins and left-aligning each element within its new column."
1131w-120Kpwxx3eY,3,Global Layout Change,"layout,global","Reflow into a single-column layout: center name/title at top, move photo as wide banner beneath, then stack Contact, About Me, Education, Work Experience, Language, and Skills with equal margins."
1131w-120Kpwxx3eY,4,Object Removal,"layout,local","Remove the blue scribble and sunburst at the top; move “Estelle Darcy” and “Graphic Designer” upward to occupy the cleared space, keeping left alignment with the contact details."
1131w-120Kpwxx3eY,5,Object Addition,"layout,local","Add a small black-and-white portfolio QR code in the blank space below the Skills section, centered, with a thin #1E2BD6 outline to match accents."
1131w-120Kpwxx3eY,6,Copy Expansion,"text,layout,global","Expand the “About Me” body paragraph to roughly triple length with cohesive professional-lorem copy, maintaining the current tone, alignment, and left-column layout to test wrapping and overflow."
1131w-120Kpwxx3eY,7,Image Replacement,"image,layout,local","Replace the top-left profile portrait with a similarly cropped square abstract geometric pattern in deep forest green and teal to shift the mood to calm, modern."
1131w-120Kpwxx3eY,8,Typography Style Shift,"text,style,global","Set the name “Estelle Darcy” in a tall serif, title case."
1131w-120Kpwxx3eY,9,Accent Recolor,"color,local",Recolor the “Estelle Darcy” headline text to deep forest green (#184D3A).
1131w-120Kpwxx3eY,10,Background Replacement,"image,color,global",Replace the cream background with a very light cool-gray (#F2F5F9) solid fill to modernize the mood while keeping the blue text and photo highly legible.
1131w-120Kpwxx3eY,11,Hierarchy Adjustment,"layout,text,global","Increase the profile photo to a huge, full-width banner centered at the top, making it the primary focal point over the name headline."
1131w-120Kpwxx3eY,12,Contrast & Readability Enhancement,"color,style,local",Change the Language section progress bars’ unfilled track to light gray (#E9EDF5) to improve contrast against the cream background.
1131w-120Kpwxx3eY,13,Add Secondary Text Block,"text,layout,local","Add a small italic supporting line beneath ""Graphic Designer"" reading ""Creating clean, thoughtful visuals that solve problems"" in muted gray #6B6B6B."
1131w-120Kpwxx3eY,14,Theme Restyling,"style,color,global","Restyle to a Lunar New Year theme using #C81D25 and #F2C12E accents, replacing the top doodles with small lantern icons while preserving the layout."
1131w-50t2MzJLmsM,0,Color Palette Variation,"color,global","Replace the crumpled beige background with deep charcoal #101318 and convert all cobalt-blue text and line art to soft mint #D9FFE5 for a crisp, readable dark-mode palette."
1131w-50t2MzJLmsM,1,Translation,"text,global","Translate all on-poster text to Spanish: “GRAN APERTURA”; “A LAS 10:00 A. M., SÁBADO”; “15 DE DICIEMBRE DE 2025”; “CALLE ANYWHERE 123, CUALQUIER CIUDAD”."
1131w-50t2MzJLmsM,2,2-Element Layout Swap,"layout,global","Swap the barista illustration and “GRAND OPENING” headline positions: place the illustration top-left and set the headline bottom-right, right-aligned, to balance."
1131w-50t2MzJLmsM,3,Global Layout Change,"layout,global","Reflow into a two-column grid: left column ""GRAND OPENING"" stacked top-to-bottom; right column large cup above figure; distribute stars between columns; center-align event details across full-width footer."
1131w-50t2MzJLmsM,4,Object Removal,"layout,local",Remove the two dashed divider lines in the bottom info block; slightly increase line spacing and vertically center the three text lines within the lower-left area.
1131w-50t2MzJLmsM,5,Object Addition,"layout,local",Add a small cobalt-blue line-art coffee bean trio in the top-right empty corner near the D to balance the header.
1131w-50t2MzJLmsM,6,Copy Expansion,"text,layout,global","Expand the ""AT 10:00 AM, SATURDAY"" text into a body paragraph: ""At 10:00 AM, Saturday—join us for fresh coffee, music, and giveaways."""
1131w-50t2MzJLmsM,7,Image Replacement,"image,layout,local","Replace the blue illustration of a barista holding a coffee cup with a similar sketch of a florist raising a bouquet, keeping the same pose and star doodles."
1131w-50t2MzJLmsM,8,Typography Style Shift,"text,style,global",Switch “GRAND OPENING” to a tall serif for an elegant tone.
1131w-50t2MzJLmsM,9,Accent Recolor,"color,local",Recolor the “OPENING” subheading from blue to warm golden #F4B400 to draw focus while complementing the beige background and blue graphics.
1131w-50t2MzJLmsM,10,Background Replacement,"image,color,global","Replace the crumpled paper backdrop with a soft, sunlit light-wood café tabletop texture, low-contrast and slightly desaturated, ensuring the blue illustrations and bold text remain highly legible."
1131w-50t2MzJLmsM,11,Hierarchy Adjustment,"layout,text,global","Enlarge the steaming coffee cup illustration to fill center and shrink the “GRAND” headline, lightening it to #7DA7FF, so the cup becomes the primary focal point."
1131w-50t2MzJLmsM,12,Contrast & Readability Enhancement,"color,style,local",Add a subtle light-cream (#FFF6E5) rectangular overlay at the bottom behind the three blue info lines to flatten paper creases and improve legibility.
1131w-50t2MzJLmsM,13,Add Secondary Text Block,"text,layout,local","Add a small italic sans-serif subtitle 'Sip, savor, celebrate.' left-aligned directly below 'OPENING' in #1E4ED8 to fill the upper-left spacing."
1131w-50t2MzJLmsM,14,Theme Restyling,"style,color,global","Recolor all blue text, illustrations, and stars to deep forest green with crimson accents for a winter holiday theme, preserving the layout, background texture, and existing typography styles."
1131w-9cN5biKALLQ,0,Color Palette Variation,"color,global","Replace the light blue background with icy mint #E6FFF5 and change all dark blue text to deep teal #104F55 for a cool, readable contrast."
1131w-9cN5biKALLQ,1,Translation,"text,global","Replace all text with Spanish: headline 'HIELO EN VENTA' and price 'SOLO ₱3.00', preserving uppercase bold sans-serif and the same deep blue color."
1131w-9cN5biKALLQ,2,2-Element Layout Swap,"layout,global","Swap the “ICE FOR SALE” headline with the “₱3.00 ONLY” price: place the price at the top center and shift the headline to the lower center, keeping balanced spacing."
1131w-9cN5biKALLQ,3,Global Layout Change,"layout,global","Rebuild into a two-panel layout: center ""ICE FOR SALE"" as one headline at top, put the price in a bold full-width bottom banner, increase outer margins."
1131w-9cN5biKALLQ,4,Object Removal,"layout,local",Remove the word 'ONLY'; center and slightly enlarge '₱3.00' beneath 'SALE' for balance and readability.
1131w-9cN5biKALLQ,5,Object Addition,"layout,local","Add a small snowflake icon above “ICE,” centered, in the same deep blue to fill the empty top space."
1131w-9cN5biKALLQ,6,Copy Expansion,"text,layout,global","Expand the ""₱3.00 ONLY"" line into a body paragraph: ""₱3.00 only—clean, clear ice sold per pack; perfect for drinks, parties, and daily use; available cold and ready now."""
1131w-9cN5biKALLQ,7,Image Replacement,"image,layout,local","Swap the bold blue “ICE FOR SALE” central typography for a similarly centered “HOT COFFEE” theme with warm browns and subtle steam illustration, keeping the minimal layout."
1131w-9cN5biKALLQ,8,Typography Style Shift,"text,style,global","Switch ""ICE FOR SALE"" to a tall serif in thin weight."
1131w-9cN5biKALLQ,9,Accent Recolor,"color,local","Change the ""SALE"" text color to vivid teal #0FB6C1."
1131w-9cN5biKALLQ,10,Background Replacement,"image,color,global","Replace the plain light blue background with a frosty cracked-ice texture in pale teal gradient (#E6F7FA to #CDEFF4), keeping the dark blue headline and price highly legible."
1131w-9cN5biKALLQ,11,Hierarchy Adjustment,"layout,text,global","Make “₱3.00 ONLY” the focal point by enlarging it to huge and centering it, then reduce “ICE FOR SALE” to small below."
1131w-9cN5biKALLQ,12,Contrast & Readability Enhancement,"color,style,local","Add a soft white drop shadow to the small ""₱3.00 ONLY"" line to increase contrast against the light blue background."
1131w-9cN5biKALLQ,13,Add Secondary Text Block,"text,layout,local","Add a small uppercase sans-serif subtitle “Crystal-clear, bagged daily” centered above “ICE FOR SALE” in deep navy #0E3A8C to utilize the empty top space."
1131w-9cN5biKALLQ,14,Theme Restyling,"style,color,global","Transform to festive Christmas theme: set background deep pine green (#0E3B2E), change text bright red (#E02626) uppercase bold, sprinkle small white snowflakes around typography, keep layout unchanged."
1131w-Cn6h5Tqrn10,0,Color Palette Variation,"color,global","Recolor everything: use deep navy background, set all text to soft ivory, and change the leaf illustrations to muted copper-bronze for a calm, elegant dark-mode palette."
1131w-Cn6h5Tqrn10,1,Translation,"text,global","Translate 'Daily Motivation' to 'Motivación diaria' and the headline to '“Mantente inspirado, nunca dejes de crear”'."
1131w-Cn6h5Tqrn10,2,2-Element Layout Swap,"layout,global","Swap the “Daily Motivation” headline with the central quote, moving the quote to the top and the headline centered where the quote currently sits."
1131w-Cn6h5Tqrn10,3,Global Layout Change,"layout,global","Rebuild as a vertical split layout: left column full-bleed leaves grouped; right column center-stack header, quote, and handle with wide padding, increased line spacing, and generous top/bottom margins."
1131w-Cn6h5Tqrn10,4,Object Removal,"layout,local","Remove the “Daily Motivation” text; shift the quote block slightly upward and center-align, moving “@reallygreatsite” up to maintain balance with the leaf elements."
1131w-Cn6h5Tqrn10,5,Object Addition,"layout,local","Add a small outlined lightbulb icon in deep forest green at the bottom-right corner to balance the foliage, sized small and aligned slightly inward from the edge."
1131w-Cn6h5Tqrn10,6,Copy Expansion,"text,layout,global","Expand the quote to: ""Stay inspired, never stop creating; keep exploring ideas, trust your instincts, and let curiosity guide your craft every day toward meaningful work and steady growth."""
1131w-Cn6h5Tqrn10,7,Image Replacement,"image,layout,local","Replace the green leafy branch illustrations with delicate watercolor cherry blossom branches in soft pink, keeping the corner placements and airy composition for a springtime mood."
1131w-Cn6h5Tqrn10,8,Typography Style Shift,"text,style,global","Set the main quote to uppercase tall serif, semi-bold, replacing the script to create a more elegant tone."
1131w-Cn6h5Tqrn10,9,Accent Recolor,"color,local",Recolor the central quote text to rich emerald #1F6F4A.
1131w-Cn6h5Tqrn10,10,Background Replacement,"image,color,global",Replace the pale linen background with warm parchment texture in light cream (#FFF4E6) to create a cozy mood while preserving strong contrast for the dark green quote and foliage.
1131w-Cn6h5Tqrn10,11,Hierarchy Adjustment,"layout,text,global","Enlarge the top-right leaf illustration to huge and center it, reduce the quote to medium size in #6B6B6B, positioned beneath."
1131w-Cn6h5Tqrn10,12,Contrast & Readability Enhancement,"color,style,local","Add a subtle #000000 25% drop shadow to the small ""@reallygreatsite"" line to improve contrast against the light textured background."
1131w-Cn6h5Tqrn10,13,Add Secondary Text Block,"text,layout,local",Add a small italic subtitle “Fuel your passion with small daily steps” centered below the quote in deep forest green #184D3A to fill the mid-lower space.
1131w-Cn6h5Tqrn10,14,Theme Restyling,"style,color,global","Convert to winter holiday theme: replace green leaves with holly sprigs and subtle snowflakes, recolor text to deep pine green with berry red accents, keeping layout unchanged."
1131w-DBVzDPV0y5E,0,Color Palette Variation,"color,global","Replace blue background, white card, red title palette with dark mode: background #0D1B2A, card #1B263B, title aqua #2EE6D6, text white; recolor illustrations using teal #2EE6D6 and amber #FFB627."
1131w-DBVzDPV0y5E,1,Translation,"text,global","Replace “SCIENCE LAB” with “LABORATORIO DE CIENCIAS” in uppercase bold, preserving the red color; leave “2022” unchanged."
1131w-DBVzDPV0y5E,2,2-Element Layout Swap,"layout,global","Swap the ""SCIENCE LAB"" headline with the ""2022"" date, placing the headline at top-center and the date just below center to maintain visual balance."
1131w-DBVzDPV0y5E,3,Global Layout Change,"layout,global",Rebuild into a horizontal split: left half white with centered title and year; right half blue hosting all illustrations arranged in a balanced 2x3 grid with even gutters.
1131w-DBVzDPV0y5E,4,Object Removal,"layout,local",Remove the “2022” text; enlarge “SCIENCE LAB” slightly and move it down to center vertically within the white panel for balanced spacing.
1131w-DBVzDPV0y5E,5,Object Addition,"layout,local","Insert a small doodle-style DNA double helix at the top center between the beaker and test tube, using deep blue and coral lines to balance the composition."
1131w-DBVzDPV0y5E,6,Copy Expansion,"text,layout,global","Add a small centered paragraph below “SCIENCE LAB” in dark gray sans-serif: “Hands-on experiments inspire curiosity, careful observation, and teamwork, turning questions into discoveries throughout our 2022 sessions.”"
1131w-DBVzDPV0y5E,7,Image Replacement,"image,layout,local","Replace the surrounding science lab illustrations (beaker, test tube, dropper, goggles, battery, molecule) with art studio illustrations (paint palette, brushes, easel, paint tubes, color wheel) while maintaining composition."
1131w-DBVzDPV0y5E,8,Typography Style Shift,"text,style,global",Switch “SCIENCE LAB” to uppercase tall serif.
1131w-DBVzDPV0y5E,9,Accent Recolor,"color,local",Recolor the “SCIENCE LAB” title text to deep indigo #2D3A8C.
1131w-DBVzDPV0y5E,10,Background Replacement,"image,color,global","Replace the flat blue background with a dark chalkboard texture (#2B2B2B) with faint chalk smudges, retaining the white rounded card and contents for clarity."
1131w-DBVzDPV0y5E,11,Hierarchy Adjustment,"layout,text,global","Center the beaker illustration inside the white panel, enlarge it to dominant size, and reduce the 'SCIENCE LAB' headline to medium size below it."
1131w-DBVzDPV0y5E,12,Contrast & Readability Enhancement,"color,style,local",Add a thin dark-blue (#2D4F7A) outline to the beaker and goggles to increase contrast against the white background.
1131w-DBVzDPV0y5E,13,Add Secondary Text Block,"text,layout,local","Add a small sans-serif subtitle ""Hands-on experiments for curious minds"" centered under ""SCIENCE LAB"" in #184D3A to balance spacing above the ""2022""."
1131w-DBVzDPV0y5E,14,Theme Restyling,"style,color,global","Restyle to a festive holiday theme: set background deep forest green #184D3A, recolor title crimson #C21807, swap lab doodles for ornaments and candy canes, keep 'SCIENCE LAB 2022' placement."
1131w-HeJuVR7Avb0,0,Color Palette Variation,"color,global","Change cream background to ocean blue #3BA7FF, pink panel to warm sand #FFE8B0, and all green text to deep indigo #1B2A59, keeping lemons/leaves unchanged."
1131w-HeJuVR7Avb0,1,Translation,"text,global","Translate all text to Spanish: replace ""AMALFI COAST"" with ""COSTA AMALFITANA"" and ""ITALY"" with ""ITALIA""; leave ""POSITANO"" and ""2025"" as is."
1131w-HeJuVR7Avb0,2,2-Element Layout Swap,"layout,global","Swap the top ""POSITANO"" headline with the bottom ""AMALFI COAST"" headline, keeping both centered and maintaining equal top and bottom margins for balance."
1131w-HeJuVR7Avb0,3,Global Layout Change,"layout,global","Rebuild into a two-column grid: place the lemon artwork in the left column; stack POSITANO, ITALY, 2025, and AMALFI COAST in the right column with generous spacing, centered alignment."
1131w-HeJuVR7Avb0,4,Object Removal,"layout,local",Remove the vertical “ITALY” and “2025” labels; slightly enlarge the lemon branch and center it within the pink panel to fill the space while maintaining consistent margins.
1131w-HeJuVR7Avb0,5,Object Addition,"layout,local","Add a small deep forest green line-art sailboat icon centered under the lemons within the pink rectangle, leaving comfortable margin from edges."
1131w-HeJuVR7Avb0,6,Copy Expansion,"text,layout,global","Replace the vertical “ITALY” with a small sans-serif paragraph in deep forest green: “Italy—sunlit cliffs, pastel villages, lemon groves, steep steps, and salty sea breezes.”"
1131w-HeJuVR7Avb0,7,Image Replacement,"image,layout,local","Swap the watercolor lemon branch illustration for a watercolor grapevine cluster with leaves, maintaining the same placement and scale on the pink panel."
1131w-HeJuVR7Avb0,8,Typography Style Shift,"text,style,global",Switch “POSITANO” and “AMALFI COAST” to a tall serif for a more elegant tone.
1131w-HeJuVR7Avb0,9,Accent Recolor,"color,local",Change the pink inner rectangle background to soft seafoam #DFF4EC.
1131w-HeJuVR7Avb0,10,Background Replacement,"image,color,global","Replace the pink square background behind the lemons with a deep Mediterranean blue (#1F6AA6) to create a coastal mood, ensuring the lemons remain crisp and legible."
1131w-HeJuVR7Avb0,11,Hierarchy Adjustment,"layout,text,global","Scale up and center the lemon illustration to bleed beyond the pink panel and poster edges, making it the dominant focal point over POSITANO and AMALFI COAST."
1131w-HeJuVR7Avb0,12,Contrast & Readability Enhancement,"color,style,local",Change the ‘ITALY’ and ‘2025’ text color to deep forest green (#184D3A) to increase contrast against the pink background.
1131w-HeJuVR7Avb0,13,Add Secondary Text Block,"text,layout,local",Add a small uppercase sans-serif subtitle 'WHERE LEMONS MEET THE SEA' centered beneath POSITANO in deep forest green #184D3A.
1131w-HeJuVR7Avb0,14,Theme Restyling,"style,color,global","Restyle to winter holiday theme: replace lemons with watercolor holly berries, change pink panel to deep forest green (#184D3A), and set all text to warm gold (#C9A227)."
1131w-MQeKlmQ9RXc,0,Color Palette Variation,"color,global","Replace the light gray/black/coral palette with midnight navy #071B2C background, ivory text/borders, and aqua #00D8E1 smile while preserving white eyes and overall layout."
1131w-MQeKlmQ9RXc,1,Translation,"text,global",Translate all visible text to Spanish: BLOCK PARTY→FIESTA DEL BARRIO; SATURDAY 3 SEPTIEMBRE→SÁBADO 3 DE SEPTIEMBRE; FREE DRINKS→BEBIDAS GRATIS; LIVE MUSIC→MÚSICA EN VIVO; FREE ENTRY→ENTRADA GRATUITA.
1131w-MQeKlmQ9RXc,2,2-Element Layout Swap,"layout,global","Swap the ""BLOCK PARTY"" headline with the central 3D face, moving the face to the top and centering the headline within the framed box below for balance."
1131w-MQeKlmQ9RXc,3,Global Layout Change,"layout,global","Rebuild into a three-column grid: center full-height mascot; left vertical 'BLOCK PARTY' with date badge; right stack 'FREE DRINKS', '5:00 PM', handle, venue; keep bottom features as a full-width strip."
1131w-MQeKlmQ9RXc,4,Object Removal,"layout,local",Remove the '@REALLYGREATSITE' handle; center 'BORCELLE CLUB' along the bottom border within the frame to maintain balance.
1131w-MQeKlmQ9RXc,5,Object Addition,"layout,local","Add a small black location pin icon to the left of “BORCELLE CLUB” in the lower-right inner frame, baseline-aligned with the text to maintain visual balance."
1131w-MQeKlmQ9RXc,6,Copy Expansion,"text,layout,global","Replace ""DJ HARPER RUSSO"" with a body sans-serif paragraph: ""DJ Harper Russo spins feel-good house and disco, keeping energy high and the dance floor moving all night."""
1131w-MQeKlmQ9RXc,7,Image Replacement,"image,layout,local","Replace the central glossy 3D smiley face with a close-up neon-accented vinyl record stack, centered on a clean light-gray background within the same framed box."
1131w-MQeKlmQ9RXc,8,Typography Style Shift,"text,style,global",Change all headlines to a tall serif.
1131w-MQeKlmQ9RXc,9,Accent Recolor,"color,local",Change the “FREE DRINKS” text color to coral #FF6F61.
1131w-MQeKlmQ9RXc,10,Background Replacement,"image,color,global","Replace the light gray background with a warm sunrise gradient (soft peach to pale yellow), keeping the 3D face and black text readable."
1131w-MQeKlmQ9RXc,11,Hierarchy Adjustment,"layout,text,global",Scale up the “3” date and center it on the poster to become the dominant focal point.
1131w-MQeKlmQ9RXc,12,Contrast & Readability Enhancement,"color,style,local",Add a 20% black (#000000) rounded rectangle behind “FREE DRINKS” to increase contrast against the adjacent white eyeball.
1131w-MQeKlmQ9RXc,13,Add Secondary Text Block,"text,layout,local",Add a small sans-serif subtitle centered below “BLOCK PARTY” reading “Neighborhood fun for all ages” in medium gray #666666.
1131w-MQeKlmQ9RXc,14,Theme Restyling,"style,color,global","Restyle to a winter holiday theme: set background icy blue (#E6F3FF), change text deep forest green, and swap the 3D face for a cheerful snowman, preserving layout."
1131w-Uq1C4aZZi9w,0,Color Palette Variation,"color,global","Recolor the layout: replace pinks with soft mint #D8F3DC and seafoam #B7E4C7; set headlines/borders deep teal #0F4C5C and body text charcoal #222, leaving the illustration untouched."
1131w-Uq1C4aZZi9w,1,Translation,"text,global","Translate all text to Spanish, changing 'Strawberry DAIQUIRI' to 'Daiquiri de Fresa' and updating the description, ingredients, and 'Invented in Cuba around 1902' accordingly."
1131w-Uq1C4aZZi9w,2,2-Element Layout Swap,"layout,global","Swap the ""DAIQUIRI"" headline with the cocktail illustration, moving the glass to the top center and the headline centered within the pink checkered area."
1131w-Uq1C4aZZi9w,3,Global Layout Change,"layout,global","Rearrange to a two-column layout: left half full-bleed cocktail image; right half stacked “Strawberry Daiquiri” title, description, ingredients, and a wide 1902 footer bar spanning both columns."
1131w-Uq1C4aZZi9w,4,Object Removal,"layout,local",Remove the centered color swatch bar and flanking lines beneath the illustration; then move the description box up and slightly increase its top padding to maintain visual balance.
1131w-Uq1C4aZZi9w,5,Object Addition,"layout,local","Add a small watercolor-style lime wedge illustration in deep forest green (#184D3A) to the left of the 'Ingredients' header, aligning vertically centered with the text."
1131w-Uq1C4aZZi9w,6,Copy Expansion,"text,layout,global",Expand the historical description paragraph in the bordered box above the ingredient list to 2–3x length while maintaining tone and current body size; ensure wrapping fits within existing width.
1131w-Uq1C4aZZi9w,7,Image Replacement,"image,layout,local","Replace the central watercolor strawberry daiquiri glass and garnish with a cozy hot cocoa in a ceramic mug topped with marshmallows, keeping the centered composition."
1131w-Uq1C4aZZi9w,8,Typography Style Shift,"text,style,global","Replace the ""Strawberry"" header's cursive with uppercase tall serif to shift the tone from playful to elegant."
1131w-Uq1C4aZZi9w,9,Accent Recolor,"color,local",Change the “DAIQUIRI” headline color to deep forest green (#184D3A).
1131w-Uq1C4aZZi9w,10,Background Replacement,"image,color,global","Replace the pink checkerboard and rays with a soft teal (#0FB8B3) to coral (#FF6F61) beach-sunset gradient, leaving a lighter center behind the glass for clear legibility."
1131w-Uq1C4aZZi9w,11,Hierarchy Adjustment,"layout,text,global","Enlarge the cocktail illustration to occupy two-thirds of the canvas and shrink “DAIQUIRI” to small uppercase sans-serif beneath it, making the illustration the main focal point."
1131w-Uq1C4aZZi9w,12,Contrast & Readability Enhancement,"color,style,local",Change the descriptive paragraph text color to #1A1A1A to increase contrast against the light background.
1131w-Uq1C4aZZi9w,13,Add Secondary Text Block,"text,layout,local","Add a small uppercase sans-serif subtitle “Rum, lime, and fresh strawberries” centered below “DAIQUIRI” in muted rose #C86A6A to tighten spacing above the illustration."
1131w-Uq1C4aZZi9w,14,Theme Restyling,"style,color,global","Restyle for winter holidays: keep layout, swap palette to deep pine green #184D3A, cranberry #B0182B, and snow #F8F6F2; replace pink checkerboard with subtle snowflakes; set title to uppercase bold."
1131w-eRlpDg4f0K8,0,Color Palette Variation,"color,global","Recolor the design: background to warm cream #FFF5E9; border, illustration, and body text to deep forest green #184D3A; script subtitle to muted olive #5B7A61."
1131w-eRlpDg4f0K8,1,Translation,"text,global","Replace “JOIN OUR” with “ÚNETE A NUESTRO” and “Book Club!” with “¡Club de Lectura!”, preserving existing styles and placement."
1131w-eRlpDg4f0K8,2,2-Element Layout Swap,"layout,global","Swap the top “JOIN OUR” headline with the central books-and-flowers illustration, placing the illustration top-center and the headline centered directly below, maintaining even spacing from the border."
1131w-eRlpDg4f0K8,3,Global Layout Change,"layout,global","Reflow into a two-column layout: left column full-height illustration; right column stacked text; move title and club name into a centered header; consolidate date, address, and tagline into a footer."
1131w-eRlpDg4f0K8,4,Object Removal,"layout,local","Remove the lavender “Book Club!” script behind the headline; move “JOIN OUR” slightly downward to occupy the freed space, maintaining alignment with the central illustration."
1131w-eRlpDg4f0K8,5,Object Addition,"layout,local",Add a small steaming teacup illustration in #1F2A44 centered between the date/time and address to fill the gap and balance the layout.
